license_id,name,city,state,specialty,title,verification_url
ASMB225028,"Abader, Sherry Shenoda Nazer, M.D.",Little Rock,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB225028
ASMB215450,"Abbasi, Danish Perwaiz, M.D.",Little Rock,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB215450
ASMB224290,"Abbott, Catey Ashlyn, D.O.",Rogers,Arkansas,Internal Medicine,D.O.,../verify/results.aspx?strPHIDNO=ASMB224290
ASMB215915,"Abbott, Jamie Langenhan, M.D.",Fayetteville,Arkansas,Dermatology,M.D.,../verify/results.aspx?strPHIDNO=ASMB215915
ASMB222904,"Abbott, Wiley Kyle, M.D.",Texarkana,Texas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB222904
ASMB224392,"Abdallah, Ahmed Abdallah Ahmed, M.D.",Little Rock,Arkansas,Nephrology,M.D.,../verify/results.aspx?strPHIDNO=ASMB224392
ASMB222584,"Abdalrahman, Akrm , M.D.",Benton,Arkansas,Anesthesiology/Critical Care,M.D.,../verify/results.aspx?strPHIDNO=ASMB222584
ASMB206191,"Abdel-Karim, Isam Ali, M.D.",Jonesboro,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB206191
ASMB11541,"Abdelaal, Ali Fekry, M.D.",Harrison,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB11541
ASMB12234,"Abdelal, Ahmed Tarek, M.D.",Mabelvale,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB12234
ASMB210649,"Abdeldayem, Mohamed Ahmed A. A., M.D.",Little Rock,Arkansas,Anesthesiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB210649
ASMB225033,"Abdelkader, Samer , D.O.",Little Rock,Arkansas,Pediatrics,D.O.,../verify/results.aspx?strPHIDNO=ASMB225033
ASMB203665,"Abdelnaem, Esamelden Salah, M.D.",Little Rock,Arkansas,Anesthesiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB203665
ASMB206619,"Abdelwahab, Wassim Taher Radwan, M.D.",Little Rock,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB206619
ASMB20111,"Abdin, Jamal Ziad, M.D.",Farmington,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB20111
ASMB223355,"Abdulmajid, Ahmad Abduljalil, M.D.",North Little Rock,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB223355
ASMB224337,"Abdulrahim, Mouad , M.D.",Fort Smith,Arkansas,Psychiatry,M.D.,../verify/results.aspx?strPHIDNO=ASMB224337
ASMB207827,"Abe, Oluwole John, M.D.",London,Kentucky,Cardiac Electrophysiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB207827
ASMB4,"Abel, Lee Curtis, M.D.",Little Rock,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB4
ASMB217108,"Abeler, Jesse David, D.O.",North Little Rock,Arkansas,Orthopaedic Surgery,D.O.,../verify/results.aspx?strPHIDNO=ASMB217108
ASMB226344,"Abels, Timothy, M.D.",Batesville,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB226344
ASMB6,"Abernathy, Bryan Edward, M.D.",Fayetteville,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB6
ASMB205970,"Abernathy, Melody  Lynette, RA",Fayetteville,Arkansas,None,RA,../verify/results.aspx?strPHIDNO=ASMB205970
ASMB225460,"Abhilasha, FNU , M.D.",Little Rock,Arkansas,Radiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB225460
ASMB12,"Abiseid, Jose E., M.D.",Clinton,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB12
ASMB16354,"Abochale, Eyad , M.D.",Little Rock,Arkansas,Pulmonary/Critical Care/Sleep Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB16354
ASMB225348,"Aboyme, Andrew Aaron, M.D.",Bentonville,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB225348
ASMB14,"Abraham, Anes Mae, M.D.",Blytheville,Arkansas,Pediatrics,M.D.,../verify/results.aspx?strPHIDNO=ASMB14
ASMB19037,"Abraham, Carl J., Jr., M.D.",Jonesboro,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB19037
ASMB7678,"Abraham, Dana Carol, M.D.",Little Rock,Arkansas,General Surgery,M.D.,../verify/results.aspx?strPHIDNO=ASMB7678
ASMB207657,"Abraham, Edward H., M.D.",Hot Springs,Arkansas,Radiation Oncology,M.D.,../verify/results.aspx?strPHIDNO=ASMB207657
ASMB11689,"Abraham, Jacob Edathara, M.D.",Hot Springs,Arkansas,Anesthesiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB11689
ASMB6832,"Abraham, James Howard, III, M.D.",Little Rock,Arkansas,Rheumatology,M.D.,../verify/results.aspx?strPHIDNO=ASMB6832
ASMB222618,"Abraham, John Lee, M.D.",Springfield,Missouri,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB222618
ASMB18819,"Abraham, Ladly , M.D.",Conway,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB18819
ASMB18,"Abraham, Robert Earl, M.D.",Jonesboro,Arkansas,Neurological Surgery,M.D.,../verify/results.aspx?strPHIDNO=ASMB18
ASMB206556,"Abuabdou, Ahmed Y.M., M.D.",Little Rock,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB206556
ASMB206437,"Abuelem, Tarek, M.D.",Sherwood,Arkansas,Neurosurgery,M.D.,../verify/results.aspx?strPHIDNO=ASMB206437
ASMB219113,"Abulfaraj, Maher Mohammad K, M.D.",Little Rock,Arkansas,Pediatrics,M.D.,../verify/results.aspx?strPHIDNO=ASMB219113
ASMB221240,"Abusalem, Lana Y., M.D.",Little Rock,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB221240
ASMB210289,"Acharya, Yuba Raj, M.D.",Hot Springs,Arkansas,Cardiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB210289
ASMB211946,"Ackley, Brittany Lynee', M.D.",Texarkana,Texas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB211946
